job_id,prompt_idx,config,psnr,ssim,mse,lpips
000000000000,0,improved_fp16_cache,38.58124542236328,0.9943255186080933,0.0001386358344461769,0.0027139505837112665
000000000000,1,improved_fp16_cache,42.90510940551758,0.9962085485458374,5.122582660987973e-05,0.0013691427884623408
000000000000,2,improved_fp16_cache,45.818172454833984,0.9977606534957886,2.6192828954663128e-05,0.000614769000094384
000000000001,0,improved_fp16_cache,44.134525299072266,0.9965264201164246,3.859642310999334e-05,0.0012598040048033
000000000001,1,improved_fp16_cache,45.144771575927734,0.9969292879104614,3.0586019420297816e-05,0.0014963502762839198
000000000001,2,improved_fp16_cache,43.60723876953125,0.9965438842773438,4.3578853365033865e-05,0.0011872132308781147
000000000002,0,improved_fp16_cache,47.72794723510742,0.9978898763656616,1.687350777501706e-05,0.0005480967229232192
000000000002,1,improved_fp16_cache,51.315887451171875,0.9984302520751953,7.3860333031916525e-06,0.00036245782393962145
000000000002,2,improved_fp16_cache,50.92033386230469,0.998346209526062,8.09032644610852e-06,0.0003381656715646386
000000000003,0,improved_fp16_cache,49.47352600097656,0.9980103373527527,1.1288786481600255e-05,0.0006926764617674053
000000000003,1,improved_fp16_cache,47.94365310668945,0.99745774269104,1.6055892047006637e-05,0.0008676003781147301
000000000003,2,improved_fp16_cache,50.03342819213867,0.9982234835624695,9.92331752058817e-06,0.000496156804729253
000000000004,0,improved_fp16_cache,51.238922119140625,0.9977366328239441,7.518088295910275e-06,0.0006868337513878942
000000000004,1,improved_fp16_cache,50.82377624511719,0.997700572013855,8.272228114947211e-06,0.0006701904931105673
000000000004,2,improved_fp16_cache,50.732120513916016,0.997748076915741,8.448652806691825e-06,0.0008122029830701649
000000000005,0,improved_fp16_cache,53.61268615722656,0.9981231093406677,4.3524214561330155e-06,0.0006136730662547052
000000000005,1,improved_fp16_cache,50.813621520996094,0.9972076416015625,8.291586709674448e-06,0.0006794394575990736
000000000005,2,improved_fp16_cache,49.99690246582031,0.9975665807723999,1.000712927634595e-05,0.0008891585748642683
000000000006,0,improved_fp16_cache,49.187442779541016,0.9977380037307739,1.2057455023750663e-05,0.0005575722316280007
000000000006,1,improved_fp16_cache,50.98343276977539,0.9978369474411011,7.97364191384986e-06,0.0004393354174681008
000000000006,2,improved_fp16_cache,51.01959228515625,0.9980384111404419,7.907526196504477e-06,0.00045214834972284734
000000000007,0,improved_fp16_cache,49.23662185668945,0.9980297088623047,1.192168565467e-05,0.0005167812923900783
000000000007,1,improved_fp16_cache,49.56619644165039,0.9977735877037048,1.1050450666516554e-05,0.0005832572933286428
000000000007,2,improved_fp16_cache,47.05311965942383,0.99721759557724,1.9710043488885276e-05,0.0009401315473951399
000000000008,0,improved_fp16_cache,51.062767028808594,0.9983533620834351,7.829306014173198e-06,0.0006280558882281184
000000000008,1,improved_fp16_cache,49.26233673095703,0.9979864954948425,1.1851306226162706e-05,0.0008835006738081574
000000000008,2,improved_fp16_cache,50.370582580566406,0.998363733291626,9.182082976622041e-06,0.0004995491472072899
000000000009,0,improved_fp16_cache,51.54094696044922,0.9979639053344727,7.013020422164118e-06,0.0003606717800721526
000000000009,1,improved_fp16_cache,49.94254684448242,0.997585654258728,1.0133161595149431e-05,0.0005490058683790267
000000000009,2,improved_fp16_cache,51.85520553588867,0.9983510375022888,6.523479441966629e-06,0.0003892890817951411
000000000010,0,improved_fp16_cache,50.23992919921875,0.9981722831726074,9.462522029934917e-06,0.000615299679338932
000000000010,1,improved_fp16_cache,44.88138961791992,0.9970083236694336,3.249832661822438e-05,0.0013583417749032378
