config,image_idx,edit_idx,image,src_prompt,edit_prompt,seconds,psnr_vs_fp32,mse_vs_fp32,peak_alloc_mb,out_png
baseline_fp32,0,0,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_dog.jpg,a slanted mountain bicycle on the road in front of a building,a slanted rusty mountain motorcycle in front of a fence,20.603,99.0,0.0,12386.83,edited_images/baseline_fp32/img0_edit0.png
baseline_fp32,0,1,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_dog.jpg,a slanted mountain bicycle on the road in front of a building,a slanted blue mountain bicycle on the road in front of a building,15.702,99.0,0.0,12386.83,edited_images/baseline_fp32/img0_edit1.png
baseline_fp32,1,0,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_woman.jpg,a slanted mountain bicycle on the road in front of a building,a slanted rusty mountain motorcycle in front of a fence,41.731,99.0,0.0,12386.83,edited_images/baseline_fp32/img1_edit0.png
baseline_fp32,1,1,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_woman.jpg,a slanted mountain bicycle on the road in front of a building,a slanted blue mountain bicycle on the road in front of a building,47.55,99.0,0.0,12386.83,edited_images/baseline_fp32/img1_edit1.png
fp16_disk,0,0,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_dog.jpg,a slanted mountain bicycle on the road in front of a building,a slanted rusty mountain motorcycle in front of a fence,5.375,52.1388,6.111122531247998e-06,6569.6,edited_images/fp16_disk/img0_edit0.png
fp16_disk,0,1,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_dog.jpg,a slanted mountain bicycle on the road in front of a building,a slanted blue mountain bicycle on the road in front of a building,5.32,48.4942,1.4144211079422577e-05,6569.67,edited_images/fp16_disk/img0_edit1.png
fp16_disk,1,0,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_woman.jpg,a slanted mountain bicycle on the road in front of a building,a slanted rusty mountain motorcycle in front of a fence,5.335,52.7997,5.248452430655676e-06,6569.71,edited_images/fp16_disk/img1_edit0.png
fp16_disk,1,1,/Users/nguyenkz/Documents/code/CS2309.CH201/data/PIE-Bench-smoke/annotation_images/0_random_140/smoke_woman.jpg,a slanted mountain bicycle on the road in front of a building,a slanted blue mountain bicycle on the road in front of a building,5.337,52.268,5.931920246269464e-06,6569.67,edited_images/fp16_disk/img1_edit1.png
